"","BCU_name","fishing","coast_pop","industr_dev","tourism","sediments","nitrogen","cumulative","Region","top_threat","first.threat","second.threat"
"1","Abrolhos Bank",0.527841771085014,0.352168657044472,0,0.751172247051066,0.65901316757393,0.839653234573361,0.403418915528021,"Caribbean-Atlantic",6,"nutrient","tourism"
"2","Aceh",0.930250416736903,0.684702175983589,0,0.819931863140157,0.754533249963219,0.809813351021687,0.646109185324538,"Southeast Asia",1,"grav_NC","tourism"
"3","Bahamas",0.507932048472589,0.502106381419884,0,0.772932082936479,0.483025599529204,0.523252814474969,0.403215429067609,"Caribbean-Atlantic",4,"reef_value","nitrogen"
"4","Banggai to Gulf of Tomini",0.453784345676238,0.694959337680416,0,0,0.631013682506988,0.645219538260277,0.441043999288679,"Southeast Asia",2,"pop_count","nitrogen"
"5","Belitung",0.478526343391208,0.70210271814785,0,0,0.609377298808298,0.82817423028025,0.469876400193015,"Southeast Asia",6,"nutrient","coast_pop"
"6","Bird's Head",0.416324848757281,0.605667081837497,0,0.689317898747161,0.653587979991173,0.598732334678385,0.461824129684967,"Southeast Asia",4,"reef_value","sediments"
"7","Cendrawasih",0.169354385570602,0.626016557989596,0,0,0.669063557451817,0.581375637978369,0.35922180663194,"Southeast Asia",5,"sediment","coast_pop"
"8","Central Bahamas",0.743233878369014,0.504194446479596,0,0.837845263389259,0.498197734294542,0.561457815119857,0.520912308489184,"Caribbean-Atlantic",4,"reef_value","fishing"
"9","Central Philippines",0.714352606244498,0.927274891933475,0,0.805983954868489,0.773126011475651,0.858032539199971,0.65583427796738,"Southeast Asia",2,"pop_count","nitrogen"
"10","Central Red Sea",0.733382030679328,0.383214887537549,0,0,0.78079483595704,0.861745250861386,0.463711069506911,"Middle East and North Africa",6,"nutrient","sediments"
"11","Central Sulawesi",0.617126481991347,0.681551762033849,0,0,0.79838531705164,0.819827538555083,0.477193303368525,"Southeast Asia",6,"nutrient","sediments"
"12","Central Tanzania",0.918553688823959,0.746812953329914,0,0,0.733889951449169,0.846277154386159,0.52817794628638,"Western Indian Ocean",1,"grav_NC","nitrogen"
"13","Comoros/Mayotte",0.797756176134555,0.907355850245439,0,0,0.659169486538179,0,0.397310849357602,"Western Indian Ocean",2,"pop_count","fishing"
"14","Cuba North/Bahamas",0.62418759716057,0.467616675214301,0,0.679628544215693,0.468202883625129,0.522322333388609,0.399258997361982,"Caribbean-Atlantic",4,"reef_value","fishing"
"15","Cuba Northwest",0.856043153340451,0.635064839915012,0,0.702707158033556,0.589359276151243,0.799403018075286,0.540156312188079,"Caribbean-Atlantic",1,"grav_NC","nitrogen"
"16","Cuba South",0.831188777134723,0.431112169389699,0,0,0.65307304693247,0.943507821568736,0.451019247893411,"Caribbean-Atlantic",6,"nutrient","fishing"
"17","Cuba Southeast",0.775374126725478,0.366162356216573,0,0,0.461619096660291,0.739870653916312,0.345048804940905,"Caribbean-Atlantic",1,"grav_NC","nitrogen"
"18","Eastern Mindinao",0.834560131857429,0.899223386328669,0,0.789783134295553,0.786560247167868,0.785934074033129,0.652980877043246,"Southeast Asia",2,"pop_count","fishing"
"19","Eel - NGBR",0.0752467644359536,0,0,0,0,0.483260553129549,0.0931142083626446,"Australia",6,"nutrient","fishing"
"20","Flores/Timor",0.421288232099043,0.804399589713532,0,0.717177082570152,0.827607768133,0.819449818510125,0.454604322348506,"Southeast Asia",5,"sediment","nitrogen"
