bcu,region_type,ext
Cuba North/Bahamas,subregion,1.1
Bahamas-57,subregion,1.1
Bahamas-44,subregion,1.5
North Red Sea-Egypt II,continent,1.5
Cuba Northwest,subregion,1.1
Sudan I,continent,1.5
Cuba South,subregion,1.1
Sudan II,continent,1.1
Cuba Southeast,subregion,1.1
Hispanola,subregion,1.1
Central Red Sea,subregion,1.1
Rakhine Coast,region_wb,1.1
Southern Red Sea,continent,1.1
SE Red Sea,continent,1.1
SW Red Sea,continent,1.1
Lakshadweep,subregion,2
Lakshadweep North,subregion,2
Mindinao to Cebu,subregion,1.1
Palawan,subregion,1.1
Sri Lanka,region_wb,1.1
Sabah,subregion,1.1
Maldives North,region_wb,1.5
Sulu Archipelago,subregion,2
Maldives South,region_wb,1.5
Simeulue to Nias,subregion,1.1
Riau Islands,subregion,1.5
North Suluwesi,subregion,1.1
Singapore,subregion,1.1
Halmahera,subregion,1.1
Belitung,subregion,1.1
Bird's Head,subregion,1.1
Mentawis,subregion,1.1
Banggai to Gulf of Tomini,subregion,1.1
Kenya/Somalia,continent,1.1
Cendrawasih,subregion,1.1
Central Sulawesi,subregion,1.1
Gulf of Boni,subregion,1.1
Makassar,subregion,1.1
Sabalana Islands,subregion,1.5
Takabonarate,subregion,2
Flores/Timor,subregion,1.1
Southern Tanzania,continent,1.1
North Mozambique,continent,2
Comoros/Mayotte,continent,1.1
Northwest Madagascar,continent,1.1
Abrolhos Bank,subregion,1.1
Great Barrier Reef Central,subregion,2
Mason - NGBR,subregion,2
Eel - NGBR,subregion,2
WhitsundayReef 1 - SGBR,subregion,2
WhitsundayReef 2-SGBR,subregion,2
Tanzania/Kenya,continent,1.1
Central Tanzania,continent,1.1
Milne Bay,continent,1.1
Solomon Islands,continent,1.1
Tahiti,continent,1.1
Torres Straight,subregion,2
Tuamotus Central,continent,1.1
Tuamotus Northern,continent,1.1
Tuamotus Southern,continent,1.1
Vanua Balavu - NE Fiji,subregion,1.1
Vatu-i-Ra,subregion,1.1
Gallon-NGBR,subregion,2
Central Bahamas,subregion,1.5
