bcu,country,wcs_map,exact,
Abrolhos Bank,Brazil,Brazil,TRUE,
Aceh,Indonesia,Indonesia,TRUE,Myanmar_Thailand
Bahamas,The Bahamas,Bahamas,TRUE,Cuba
Banggai to Gulf of Tomini,Indonesia,Indonesia,TRUE,
Belitung,Indonesia,Indonesia,TRUE,
Bird's Head,Indonesia,Indonesia,TRUE,
Cendrawasih,Indonesia,Indonesia,TRUE,
Central Bahamas,The Bahamas,Bahamas,TRUE,
Central Philippines,Philippines,Philippines,TRUE,
Central Red Sea,Saudi Arabia,Red_Sea,NA,
Central Sulawesi,Indonesia,Indonesia,TRUE,
Central Tanzania,Tanzania,Tanzania,TRUE,
Comoros/Mayotte,Comoros,Mozambique_Channel,NA,
Cuba North/Bahamas,The Bahamas,Bahamas,TRUE,
Cuba Northwest,Cuba,Cuba,NA,
Cuba South,Cuba,Cuba,NA,
Cuba Southeast,Cuba,Cuba,NA,
Eastern Mindinao,Philippines,Philippines,TRUE,
Eel - NGBR,Australia,Australia,TRUE,
Flores/Timor,East Timor,Indonesia,TRUE,
Gallon-NGBR,Australia,Australia,TRUE,
Great Barrier Reef Central,Australia,Australia,TRUE,
Gulf of Boni,Indonesia,Indonesia,TRUE,
Gulf of Thailand,Cambodia,Myanmar_Thailand,NA,
Gulf of Tomini,Indonesia,Indonesia,TRUE,
Halmahera,Indonesia,Indonesia,TRUE,
Hispanola,Cuba,Cuba,NA,
Karimunjawa to Kangean,Indonesia,Indonesia,TRUE,
Kenya/Somalia,Kenya,Kenya,NA,
Lakshadweep,India,India,NA,
Lakshadweep North,India,India,NA,
Maceio,Brazil,Brazil,NA,
Mackay-GBR,Australia,Australia,TRUE,
Makassar,Indonesia,Indonesia,TRUE,
Maldives North,Maldives,India,NA,
Maldives South,Maldives,India,NA,
Mason - NGBR,Australia,Australia,TRUE,
Mentawis,Indonesia,Indonesia,TRUE,
Milne Bay,Papua New Guinea,Solomon_Islands,NA,
Mindinao to Cebu,Philippines,Philippines,TRUE,
Nicobar Islands,India,India,NA,Myanmar_Thailand
North Mozambique,Mozambique,Mozambique_Channel,NA,
North Red Sea - Egypt I,Egypt,Red_Sea,NA,
North Red Sea-Egypt II,Egypt,Red_Sea,NA,
North Sulawesi,Indonesia,Indonesia,TRUE,
Northern Papua,Indonesia,Indonesia,TRUE,
Northwest Madagascar,Madagascar,Mozambique_Channel,NA,
Obi Island,Indonesia,Indonesia,TRUE,
Palawan,Philippines,Philippines,TRUE,
Persian Gulf,Bahrain,Bahrain_PersianGulf,NA,
Rakhine Coast,Bangladesh,Myanmar_Thailand,NA,
Ralik Chain,Marshall Islands,Marshall_Islands,NA,
Riau Islands,Indonesia,Indonesia,TRUE,
Sabah,Malaysia,Philippines,TRUE,
Sabalana Islands,Indonesia,Indonesia,TRUE,
Salvador,Brazil,Brazil,NA,
SE Red Sea,Eritrea,Red_Sea,NA,
Simeulue to Nias,Indonesia,Indonesia,TRUE,
Singapore,Indonesia,Indonesia,TRUE,
Solomon Islands,Solomon Islands,Solomon_Islands,NA,
Somalia,Somalia,Kenya,NA,
South Papua,Indonesia,Indonesia,TRUE,
Southern Red Sea,Eritrea,Red_Sea,NA,
Southern Tanzania,Tanzania,Tanzania,TRUE,Mozambique_Channel
Sri Lanka,India,India,NA,
Sudan I,Egypt,Red_Sea,NA,
Sudan II,Egypt,Red_Sea,NA,
Sulu Archipelago,Philippines,Philippines,TRUE,
Sunda Strait,Indonesia,Indonesia,TRUE,
SW Red Sea,Djibouti,Red_Sea,NA,
Tahiti,French Polynesia,FrenchPolynesia,TRUE,
Takabonarate,Indonesia,Indonesia,TRUE,
Tanintharyi/Phuket,Myanmar,Myanmar_Thailand,NA,
Tanzania/Kenya,Kenya,Tanzania,TRUE,Kenya
Torres Strait,Australia,Australia,NA,
Tuamotus Central,French Polynesia,FrenchPolynesia,TRUE,
Tuamotus Northern,French Polynesia,FrenchPolynesia,TRUE,
Tuamotus Southern,French Polynesia,FrenchPolynesia,TRUE,
Van Diemen Gulf,Australia,Australia,NA,
Vanua Balavu - NE Fiji,Fiji,Fiji,TRUE,
Vatu-i-Ra,Fiji,Fiji,TRUE,
WhitsundayReef 1 - SGBR,Australia,Australia,TRUE,
WhitsundayReef 2-SGBR,Australia,Australia,TRUE,
