country,site,latitude,longitude
Fiji,BU03,-17.734462,178.59043
Fiji,BU08,-17.725,178.751
Fiji,BU09,-17.751,178.778
Fiji,NAO1,-17.746,178.827
Fiji,NAO3,-17.74,178.812
Fiji,NAOBF3,-17.598,178.825
Fiji,NAOBF4,-17.595,178.819
Fiji,VIR10,-17.4785,178.4892
Fiji,VIR11,-17.3589,178.4398
Fiji,VIR6,-17.4611,178.4942
Fiji,VIR7,-17.4466,178.4983
Indonesia,Anoi Hitam,5.825738056,95.37825389
Indonesia,Beurawang,5.777511111,95.33685194
Indonesia,Control Teunom 2,5.554888333,95.21267389
Indonesia,Deudap,5.607141944,95.19258111
Indonesia,Deudap 2,5.554888333,95.21267389
Indonesia,Jaboi,5.799778889,95.34604611
Indonesia,Kontrol Kota Atas,5.898000278,95.31451444
Indonesia,Lam Tadoh,5.600628056,95.124595
Indonesia,Lapeng,5.698566944,95.11094194
Indonesia,Leun Balee 1,5.7276,95.07301111
Indonesia,Lhok Weng,5.863641111,95.26643611
Indonesia,Lhong Angin 1,5.832608056,95.25836611
Indonesia,Lhong Angin 2,5.821983889,95.25977111
Indonesia,Paloh,5.664196111,95.09257694
Indonesia,Pemanfaatan Ie Meule,5.902357222,95.32695222
Indonesia,Reuteuk,5.857248889,95.36137889
Indonesia,Sumur Tiga,5.888368056,95.34547111
Indonesia,Ujung Kareung,5.876188889,95.35363575
Tanzania,Amana1,-8.7109,39.46088
Tanzania,Amana2,-8.70167,39.46367
Tanzania,Amana3,-8.70047,39.46022
Tanzania,Aquarium,-4.96,39.66
Tanzania,Changale,-5.3118,39.06928
Tanzania,Changale,-5.3118,39.06928
Tanzania,Changale,-5.3118,39.06928
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Chundo,-4.9027,39.28679
Tanzania,Chundo 2,-4.91238,39.28746
Tanzania,Dambwe East,-5.64383,39.00757
Tanzania,Dambwe West,-5.64102,39.00128
