ID;region;REEFTHREG
1;Andaman Sea;Southeast Asia
2;Arabian Sea;Middle East and North Africa
3;Arafura Sea;Coral Triangle
4;Bali Sea;Coral Triangle
5;Banda Sea;Coral Triangle
6;Bay of Bengal;Indian Ocean
7;Bismarck Sea;Coral Triangle
8;Caribbean Sea;Caribbean-Atlantic
9;Celebes Sea;Coral Triangle
10;Ceram Sea;Coral Triangle
11;Coral Sea;Australia and New Zealand
12;Eastern China Sea;Pacific Ocean
13;Flores Sea;Coral Triangle
14;Gulf of Aden;Middle East and North Africa
15;Gulf of Aqaba;Middle East and North Africa
16;Gulf of Boni;Coral Triangle
17;Gulf of California;Pacific Ocean
18;Gulf of Guinea;Caribbean-Atlantic
19;Gulf of Mexico;Caribbean-Atlantic
20;Gulf of Oman;Middle East and North Africa
21;Gulf of Suez;Middle East and North Africa
22;Gulf of Thailand;Southeast Asia
23;Gulf of Tomini;Coral Triangle
24;Halmahera Sea;Coral Triangle
25;Indian Ocean;Indian Ocean
26;Japan Sea;Pacific Ocean
27;Java Sea;Coral Triangle
28;Laccadive Sea;Indian Ocean
29;Makassar Strait;Coral Triangle
30;Malacca Strait;Southeast Asia
31;Molukka Sea;Coral Triangle
32;Mozambique Channel;East Africa
33;North Atlantic Ocean;Caribbean-Atlantic
34;North Pacific Ocean;Pacific Ocean
35;Persian Gulf;Middle East and North Africa
36;Philippine Sea;Pacific Ocean
37;Red Sea;Middle East and North Africa
38;Savu Sea;Coral Triangle
39;Singapore Strait;Coral Triangle
40;Solomon Sea;Coral Triangle
41;South Atlantic Ocean;Caribbean-Atlantic
42;South China Sea;Southeast Asia
43;South Pacific Ocean;Pacific Ocean
44;Sulu Sea;Coral Triangle
45;Tasman Sea;Australia and New Zealand
46;Timor Sea;Australia and New Zealand
